,x,r,Mach Number,Stagnation Temperature (K),Stagnation Pressure (kPa),Static Temperature (K),Heat Transfer Coefficient,Heat Flux (kW/m2),Viscosity (Pa s),Thermal Conductivity (W/m K),Density (kg/m3),Velocity (m/s),Reynold's Number,Skin Friction Coefficient
388,8.46805795177345,1.015457204431422,1.6900883152178223,3398.824605443966,2028.0224629134789,3363.4807409641157,49445.42660851414,153345.74053843398,6.662176847669077e-05,0.16306007714117726,0.017735911528045493,324.8349411112987,18600.191581579365,0.008063414771809775
389,8.48988284340173,1.0213051665181172,1.7000538218069905,3398.8198061312437,2027.011069485138,3363.087024750539,48947.14467385731,151797.30670157872,6.671092261171256e-05,0.1633762354752604,0.017733835429914854,326.73118665069194,18729.729923617964,0.008052230167683404
390,8.511707735030013,1.0271531286048128,1.7098415375348166,3398.81502780859,2025.995832170759,3362.698035283199,48456.21892647617,150271.77963139414,6.679890831962484e-05,0.16368834858611764,0.017731784256308374,328.5932703938614,18857.839807967517,0.008041259823921074
391,8.533532626658296,1.0330010906915086,1.719458668779039,3398.810270309333,2024.9769449151036,3362.313612500035,47972.51563803483,148768.7412989526,6.688576685441633e-05,0.16399655838582083,0.017729757163205524,330.42257921651776,18984.586735146422,0.008030493850957245
392,8.555357518286577,1.038849052778204,1.7289119413516387,3398.805533467848,2023.9545934924847,3361.9336063452056,47495.903245940994,147287.78055694772,6.697153681960047e-05,0.16430099765477435,0.0177277533593494,332.22040751491073,19110.031649703746,0.008019923065629765
393,8.57718240991486,1.0446970148648995,1.7382076450246364,3398.80081711962,2022.9289559811816,3361.557875868291,47026.2524047948,145828.49328703873,6.705625441290637e-05,0.16460179088654553,0.017725772101496732,333.98796577250795,19234.23136902576,0.008009538923611358
394,8.599007301543141,1.0505449769515933,1.7473516728382779,3398.7961211013057,2021.9002031991915,3361.186288426809,46563.4360223877,144390.48250054644,6.713995364219086e-05,0.16489905503319696,0.017723812690212712,335.7263881229442,19357.238961536616,0.007999333459885835
395,8.620832193171424,1.0563929390382873,1.7563495559232771,3398.7914452507757,2020.8684991054563,3360.8187189778505,46107.32928275339,142973.35840009304,6.722266651662352e-05,0.16519290016514257,0.017721874466135705,337.4367390499863,19479.10408141789,0.007989299236130653
396,8.642657084799705,1.0622409011249807,1.7652064944502723,3398.7867894071615,2019.8340011701653,3360.4550494469004,45657.80965836355,141576.73840853406,6.730442321654044e-05,0.16548343005727129,0.017719956806648996,339.1200193424619,19599.87326581462,0.007979429294052926
397,8.664481976427988,1.0680888632116747,1.7739273852227686,3398.7821534108875,2018.7968607172604,3360.095168163752,45214.7569132174,140200.2471704869,6.738525224482112e-05,0.16577074271121645,0.017718059122906332,340.7771714034641,19719.590199550377,0.007969717113877433
